case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
1.0,10.0,1.0,1.0,1.0,0.5,0.4,0.2,0.2
1.0,10.0,1.0,1.0,2.0,0.1,0.275,0.2,0.2
1.0,10.0,1.0,1.0,3.0,0.1,0.2875,0.2,0.2
1.0,10.0,1.0,2.0,1.0,0.5,0.7428571428571429,0.7,0.7
1.0,10.0,1.0,2.0,2.0,0.4,0.5,0.4,0.4
1.0,10.0,1.0,2.0,3.0,0.2,0.32857142857142857,0.3,0.3
1.0,10.0,1.0,3.0,1.0,0.4000000000000001,0.5666666666666667,0.5,0.5
1.0,10.0,1.0,3.0,2.0,0.3,0.5,0.4000000000000001,0.4000000000000001
1.0,10.0,1.0,3.0,3.0,0.20000000000000004,0.3,0.4000000000000001,0.4000000000000001
1.0,10.0,1.0,4.0,1.0,0.5,0.7000000000000001,0.5,0.5
1.0,10.0,1.0,4.0,2.0,0.4000000000000001,0.5666666666666667,0.5,0.5
1.0,10.0,1.0,4.0,3.0,0.3,0.4666666666666666,0.5,0.5
1.0,10.0,2.0,1.0,1.0,0.6,0.45,0.2,0.3
1.0,10.0,2.0,1.0,2.0,0.4,0.42500000000000004,0.1,0.1
1.0,10.0,2.0,1.0,3.0,0.1,0.225,0.1,0.1
1.0,10.0,2.0,2.0,1.0,0.3,0.5,0.4,0.4
1.0,10.0,2.0,2.0,2.0,0.3,0.3,0.4,0.4
1.0,10.0,2.0,2.0,3.0,0.2,0.35,0.3,0.3
1.0,10.0,2.0,3.0,1.0,0.4000000000000001,0.6,0.5,0.5
1.0,10.0,2.0,3.0,2.0,0.3,0.5,0.4000000000000001,0.4000000000000001
1.0,10.0,2.0,3.0,3.0,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001
1.0,10.0,2.0,4.0,1.0,0.2,0.6749999999999999,0.4,0.4
1.0,10.0,2.0,4.0,2.0,0.1,0.36250000000000004,0.2,0.2
1.0,10.0,2.0,4.0,3.0,0.1,0.2625,0.2,0.2
1.0,10.0,3.0,1.0,1.0,0.5,0.42000000000000004,0.3,0.4
1.0,10.0,3.0,1.0,2.0,0.5,0.32,0.2,0.3
