case,num_nodes,num_sources,avg_degree,budget,gnn,random,max_degree_static,max_degree_dynamic
1.0,50.0,1.0,1.0,1.0,0.18,0.19,0.04,0.04
1.0,50.0,1.0,1.0,2.0,0.02,0.14,0.04,0.04
1.0,50.0,1.0,1.0,3.0,0.02,0.08,0.04,0.04
1.0,50.0,1.0,2.0,1.0,0.62,0.76,0.64,0.64
1.0,50.0,1.0,2.0,2.0,0.38,0.645,0.34,0.34
1.0,50.0,1.0,2.0,3.0,0.32,0.565,0.04,0.04
1.0,50.0,1.0,3.0,1.0,0.44,0.8400000000000001,0.48,0.66
1.0,50.0,1.0,3.0,2.0,0.4,0.76,0.48,0.48
1.0,50.0,1.0,3.0,3.0,0.36,0.616,0.22,0.22
1.0,50.0,1.0,4.0,1.0,0.4,0.835,0.54,0.54
1.0,50.0,1.0,4.0,2.0,0.36,0.6875,0.44,0.44
1.0,50.0,1.0,4.0,3.0,0.32,0.63,0.44,0.44
1.0,50.0,2.0,1.0,1.0,0.2,0.248,0.04,0.06
1.0,50.0,2.0,1.0,2.0,0.18,0.12,0.02,0.02
1.0,50.0,2.0,1.0,3.0,0.02,0.156,0.02,0.02
1.0,50.0,2.0,2.0,1.0,0.36,0.8049999999999999,0.38,0.38
1.0,50.0,2.0,2.0,2.0,0.36,0.585,0.38,0.38
1.0,50.0,2.0,2.0,3.0,0.16,0.49,0.38,0.38
1.0,50.0,2.0,3.0,1.0,0.26,0.79,0.28,0.46
1.0,50.0,2.0,3.0,2.0,0.24,0.69,0.28,0.28
1.0,50.0,2.0,3.0,3.0,0.22,0.54,0.28,0.28
1.0,50.0,2.0,4.0,1.0,0.34,0.8057142857142858,0.48,0.48
1.0,50.0,2.0,4.0,2.0,0.3,0.7228571428571428,0.38,0.38
1.0,50.0,2.0,4.0,3.0,0.26,0.6085714285714285,0.38,0.38
1.0,50.0,3.0,1.0,1.0,0.12,0.1822222222222222,0.06,0.08
1.0,50.0,3.0,1.0,2.0,0.12,0.1644444444444444,0.04,0.06
1.0,50.0,3.0,1.0,3.0,0.1,0.1111111111111111,0.02,0.02
1.0,50.0,3.0,2.0,1.0,0.62,0.736,0.3,0.3
1.0,50.0,3.0,2.0,2.0,0.2899,0.58,0.3,0.3
